feature,clf_importance,reg_importance
cat__airport_MOB,0.0,0.0
cat__airport_MOD,0.0,0.0
cat__airport_MOT,0.0,0.0
cat__airport_MQT,0.0,0.0
cat__airport_MRY,0.0,0.0
cat__airport_MSN,0.0,0.0
cat__airport_MSO,0.0,0.0
cat__airport_MSP,0.0,0.0
cat__airport_MSY,0.0,0.0
cat__airport_MTJ,0.0,0.0
cat__airport_MVY,0.0,0.0
cat__airport_MYR,0.0,0.0
cat__airport_OAJ,0.0,0.0
cat__airport_OAK,0.0,0.0
cat__airport_OGD,0.0,0.0
cat__airport_OGG,5.9197075e-05,0.0
cat__airport_OGS,0.0,0.0
cat__airport_OKC,0.0,0.0
cat__airport_OMA,0.0,0.0
cat__airport_OME,0.0,0.0
cat__airport_ONT,0.0,0.0
cat__airport_ORD,0.0,0.0
cat__airport_ORF,0.0,0.0
cat__airport_ORH,0.0,0.0
cat__airport_OTH,0.0,0.0
cat__airport_OTZ,0.0,0.0
cat__airport_OWB,0.0,0.0
cat__airport_PAE,0.0,0.0
cat__airport_PAH,0.0,0.0
cat__airport_PBG,0.0,0.000117993884
cat__airport_PBI,0.0,0.0
cat__airport_PDX,0.0,0.0
cat__airport_PGD,0.0,0.0
cat__airport_PGV,0.0,0.0
cat__airport_PHF,0.0,0.0
cat__airport_PHL,0.0,9.0350935e-05
cat__airport_PHX,0.0,0.0
cat__airport_PIA,0.0,0.0
cat__airport_PIB,0.0,0.0
cat__airport_PIE,0.0,0.0
cat__airport_PIH,0.0,0.0
cat__airport_PIR,0.0,0.0
cat__airport_PIT,0.0,0.0
cat__airport_PLN,0.0,0.0
cat__airport_PNS,0.0,0.0
cat__airport_PPG,0.0,0.00084721064
cat__airport_PRC,0.0,0.0
cat__airport_PSC,0.0,0.0
cat__airport_PSE,0.0,0.0
cat__airport_PSG,0.0,0.0
cat__airport_PSM,0.0,0.0
cat__airport_PSP,0.0,0.0
cat__airport_PUB,0.0,0.0
cat__airport_PUW,0.0,0.0
cat__airport_PVD,0.0,0.0
cat__airport_PVU,0.0,0.0
cat__airport_PWM,0.0,0.0
cat__airport_RAP,0.0,0.00013372162
cat__airport_RDD,0.0,0.0
cat__airport_RDM,0.0,0.0
cat__airport_RDU,0.0,0.0
cat__airport_RFD,0.0,0.0
cat__airport_RHI,0.0,0.0
cat__airport_RIC,0.0,0.0
cat__airport_RIW,0.0,0.0
cat__airport_RKS,0.0,0.0
cat__airport_RNO,0.0,0.0
cat__airport_ROA,0.0,0.0
cat__airport_ROC,0.0,0.0
cat__airport_ROW,0.0,0.0
cat__airport_RST,0.0,0.0
cat__airport_RSW,0.0,0.0
cat__airport_SAF,0.0,0.0
cat__airport_SAN,0.0,0.0
cat__airport_SAT,0.0,0.0
cat__airport_SAV,0.0,0.0
cat__airport_SBA,0.0,0.0
cat__airport_SBN,0.0,0.0
cat__airport_SBP,0.0,0.0
cat__airport_SCC,0.0,0.0
cat__airport_SCE,0.0,0.0
cat__airport_SCK,0.0,0.0
cat__airport_SDF,0.0,0.0
cat__airport_SEA,0.0,0.0
cat__airport_SFB,0.0,0.0
cat__airport_SFO,0.0,0.0
