ident,name,municipality,iso_region,iata_code,local_code,latitude_deg,longitude_deg,faa_code
35FL,St Vincent's Medical Center Heliport,Jacksonville,US-FL,,35FL,30.308245,-81.690613,35FL
35GA,Buford Precinct Heliport,Buford,US-GA,,35GA,34.097900390625,-84.01239776611328,35GA
35IA,Frazier Airport,DeWitt,US-IA,,35IA,41.848318,-90.595572,35IA
35ID,Bluebird Airport,Salmon,US-ID,,35ID,44.923832,-113.966316,35ID
35IL,7th Heaven Airport,La Moille,US-IL,,35IL,41.534065,-89.204532,35IL
35IN,Ellison Airport,Tipton,US-IN,,35IN,40.29449844360352,-85.94249725341797,35IN
35IS,Enoch Airport,Findlay,US-IL,,35IS,39.52840042114258,-88.76399993896484,35IS
35JY,Cyber Density Balloon Spot Balloonport,Belle Mead,US-NJ,,35JY,40.434427,-74.634626,35JY
35KY,Welcome Field,Franklin,US-KY,,35KY,36.711504,-86.636038,35KY
35L,Carriage Lane Airport,Gregory,US-MI,,35L,42.464500427246094,-84.03500366210938,35L
35LA,Ms Pats Airport,Abbeville,US-LA,,35LA,29.97450065612793,-92.17610168457033,35LA
35LL,Crawford Memorial Hospital Heliport,Robinson,US-IL,,35LL,39.015899658203125,-87.75,35LL
35LS,The Bluffs Heliport,St Francisville,US-LA,,35LS,30.8031005859375,-91.24490356445312,35LS
35M,Vortex Heliport,Long Beach,US-MS,,35M,30.388599395751957,-89.16529846191406,35M
35MA,Idlewide Heliport,Beverly,US-MA,,35MA,42.55799865722656,-70.8125991821289,35MA
35ME,Matinicus Island Airport,Matinicus Island,US-ME,,35ME,43.871338,-68.893504,35ME
35MI,Law Field,Vermontville,US-MI,,35MI,42.6338996887207,-84.98580169677734,35MI
35MN,Wipline Airport,Inver Grove Heights,US-MN,,35MN,44.81549835205078,-93.01349639892578,35MN
35MO,Camp Clark Army Heliport,Nevada,US-MO,,35MO,37.81669998168945,-94.30020141601562,35MO
35MT,Haynes Ranch Airport,Billings,US-MT,,35MT,45.861717,-108.646765,35MT
35MU,AE 146 Pike County Heliport,Louisiana,US-MO,,35MU,39.414878,-91.098633,35MU
35NC,Johnston Airport,Mooresville,US-NC,,35NC,35.538299560546875,-80.75140380859375,35NC
35NE,Shelburnes Airport,Ogallala,US-NE,,35NE,41.051802,-101.806364,35NE
35NH,Cobbetts Pond Seaplane Base,Windham,US-NH,,35NH,42.806914,-71.275853,35NH
35NJ,Mid-State Heliport,Somerville,US-NJ,,35NJ,40.600399017333984,-75.71939849853516,35NJ
35NK,Tiger Paw Aerodrome,Lyndonville,US-NY,,35NK,43.367099,-78.414026,35NK
35NR,Friendship Field,Mars Hill,US-NC,,35NR,35.830545,-82.519312,35NR
35OH,Gainey Heliport,Massillon,US-OH,,35OH,40.81869888305664,-81.52369689941406,35OH
35OI,Fawcett Center For Tomorrow Heliport,Columbus,US-OH,,35OI,40.01060104370117,-83.018798828125,35OI
35OL,Henderson Farm Airport,Mooreland,US-OK,,35OL,36.63309860229492,-99.15119934082033,35OL
35PN,Sabinsville-Consolidated Heliport,Westfield,US-PA,,35PN,41.87260055541992,-77.52050018310547,35PN
35SC,Kershaw Health Medical Center Heliport,Camden,US-SC,,35SC,34.253527,-80.59154,35SC
35TA,Texas Health Presbyterian Hospital Plano Heliport,Plano,US-TX,,35TA,33.0434989929,-96.83719635010002,35TA
35TN,DeKalb Community Hospital Heliport,Smithville,US-TN,,35TN,35.960944,-85.830211,35TN
35TX,Flying B Ranch Airstrip,Abilene,US-TX,,35TX,32.483972,-99.825912,35TX
35VA,Community Memorial Hospital Heliport,South Hill,US-VA,,35VA,36.751347,-78.104767,35VA
35WA,Fisher Ranch Airport,Washtucna,US-WA,,35WA,46.747883,-118.419139,35WA
35WI,Barker Strip,East Troy,US-WI,,35WI,42.745601654052734,-88.4375991821289,35WI
35XA,Rcade Ranch Airport,Livingston,US-TX,,35XA,30.834058,-94.941683,35XA
35XS,Nocona General Hospital Heliport,Nocona,US-TX,,35XS,33.778492,-97.73256,35XS
36AA,W. M. Thomas Pad Heliport,Sawyerville,US-AL,,36AA,32.716836,-87.749524,36AA
36AK,Flyway Farm Airstrip,Wasilla,US-AK,,36AK,61.346437,-150.069781,36AK
36AL,Hidden Springs Airpark,Ozark,US-AL,,36AL,31.491973,-85.534407,36AL
36AR,David Stanley Memorial Airport,Gregory,US-AR,,36AR,35.20640182495117,-91.31890106201172,36AR
36CA,Stone Land County Airport,Stratford,US-CA,,36CA,36.13190078735352,-119.98600006103516,36CA
36CL,Tri-City Hospital Heliport,Oceanside,US-CA,,36CL,33.185298919677734,-117.29100036621094,36CL
36CO,Fat Chance Airport,Peyton,US-CO,,36CO,39.10609817504883,-104.54399871826172,36CO
36FA,Orlando Helicopter Adventures Heliport,Kissimmee,US-FL,,36FA,28.333457,-81.487765,36FA
36FD,Bay Helicopters Heliport,Panama City,US-FL,,36FD,30.19379997253418,-85.66130065917969,36FD
36FL,Mease Countryside Hospital Heliport,Safety Harbor,US-FL,,36FL,28.0428,-82.707377,36FL
36GA,Lola Landing Airport,Conyers,US-GA,,36GA,33.72423,-83.97608,36GA
36H,Squaw Harbor Seaplane Base,Squaw Harbor,US-AK,,36H,55.233299,-160.552002,36H
36ID,Dorothy Roeber Memorial Heliport,Atlanta,US-ID,,36ID,43.8072,-115.1308,36ID
36II,Newby Landing Airport,Brownsburg,US-IN,,36II,39.84120178222656,-86.34860229492188,36II
36IL,Batchtown Heliport,Batchtown,US-IL,,36IL,39.033353,-90.666094,36IL
36IN,Peterson Ultralightport,North Liberty,US-IN,,36IN,41.53620147705078,-86.44390106201172,36IN
36IS,Gillen Airport,Monmouth,US-IL,,36IS,40.92639923095703,-90.731201171875,36IS
36KS,White Farms Airport,Galesburg,US-KS,,36KS,37.4748,-95.343597,36KS
36KY,Arnolds Airport,Springfield,US-KY,,36KY,37.65560150146485,-85.15380096435547,36KY
36LA,Lafayette Training Center - Cusa Heliport,Lafayette,US-LA,,36LA,30.1658000946,-92.05870056150002,36LA
36LL,Calhoun Medical Center Heliport,Hardin,US-IL,,36LL,39.15890121459961,-90.62220001220705,36LL
36MA,Beth Israel Deaconess Medical Center Heliport,Boston,US-MA,,36MA,42.338161,-71.109107,36MA
36ME,Camden Seaplane Base,Camden,US-ME,,36ME,44.258154,-69.124372,36ME
