airport,lat,lon,year,month,temp_mean,temp_min,temp_max,precip_sum,windspeed_max
SBA,34.426201,-119.839996,2017,1,11.95,6.6,18.8,249.70000000000002,40.2
ELP,31.807199,-106.377998,2020,10,20.065624999999997,-2.1,34.0,11.1,34.1
SAF,35.6171,-106.088997,2015,6,22.290322580645157,10.8,34.5,5.6,29.1
JLN,37.151798,-94.498299,2018,10,15.125,2.3,30.1,105.80000000000001,30.3
XNA,36.281898,-94.306801,2013,11,7.470967741935484,-4.5,20.8,56.699999999999996,28.6
FAY,34.991199,-78.880302,2021,5,20.771875,6.6,33.6,49.5,31.6
GEG,47.6199,-117.533997,2017,3,4.434375,-8.4,15.3,100.9,39.6
CMI,40.039819,-88.276249,2019,12,2.159375,-8.6,16.9,64.3,34.2
PHF,37.131901,-76.492996,2020,6,23.622580645161293,13.5,33.8,144.8,28.2
ILG,39.678699,-75.606499,2014,6,22.351612903225806,12.9,32.9,69.3,20.1
LYH,37.326698,-79.200401,2020,5,15.8375,-0.0,27.9,113.30000000000001,26.0
CID,41.884701,-91.7108,2018,7,23.171875,13.2,33.0,60.699999999999996,32.9
BFL,35.433601,-119.056999,2018,11,15.451612903225806,3.6,28.2,28.1,20.6
DSM,41.534,-93.663101,2023,8,24.1125,13.3,37.9,93.6,27.4
MKE,42.947201,-87.896599,2017,7,20.9625,13.8,31.9,103.3,28.8
DAY,39.902401,-84.219398,2018,3,2.334375,-7.2,14.1,87.3,35.7
KOA,19.738783,-156.045603,2016,12,20.778125,15.8,25.5,243.4,11.7
LEX,38.036499,-84.605904,2022,8,23.371875000000003,14.6,33.1,132.4,18.0
LIT,34.729582,-92.223728,2016,3,14.1125,1.2,28.4,272.4,26.3
GJT,39.126663,-108.529387,2022,4,11.658064516129034,-3.4,27.9,12.0,30.8
TWF,42.4818,-114.487999,2021,1,0.18437500000000004,-7.8,10.4,21.3,37.3
AUS,30.197535,-97.662015,2014,1,9.384375,-4.4,25.9,11.5,31.4
IDA,43.514599,-112.070999,2019,12,-3.79375,-18.2,6.6,34.4,26.8
CLL,30.5886,-96.3638,2014,10,22.63125,9.5,34.0,57.60000000000001,32.0
MLU,32.510899,-92.037697,2019,7,27.534375,18.9,36.1,114.00000000000001,33.2
AVL,35.436199,-82.541801,2015,6,22.399999999999995,13.0,32.0,61.4,20.1
SRQ,27.394631,-82.554359,2015,12,22.34375,11.1,28.1,22.299999999999997,25.6
BTV,44.471901,-73.153297,2021,3,0.9500000000000002,-17.3,21.0,47.9,35.8
TYS,35.811001,-83.994003,2021,4,13.27741935483871,-3.1,27.1,55.6,27.7
MIA,25.7932,-80.290604,2018,2,22.982758620689655,15.4,27.5,30.500000000000004,28.1
LAW,34.567699,-98.416603,2020,5,22.14375,8.2,38.7,59.699999999999996,40.9
GTR,33.450298,-88.5914,2022,12,9.690625,-14.6,25.5,128.3,36.1
SPN,15.119,145.729004,2023,5,27.446875,24.1,30.4,163.2,66.4
LBB,33.663601,-101.822998,2015,2,5.882758620689655,-11.4,25.4,13.100000000000001,43.0
LGB,33.816523,-118.149891,2020,6,20.874193548387098,14.8,36.0,4.2,43.2
SAF,35.6171,-106.088997,2014,12,0.28437499999999993,-11.9,12.2,21.8,38.5
STX,17.701413,-64.802608,2013,8,27.284375,25.6,28.5,100.8,35.6
SPI,39.844101,-89.677902,2020,11,8.651612903225804,-6.0,23.0,77.69999999999999,38.5
TLH,30.3965,-84.350304,2021,9,24.55806451612903,14.4,31.4,178.50000000000003,19.1
MLU,32.510899,-92.037697,2022,2,9.262068965517239,-4.0,27.0,126.8,37.4
PIA,40.6642,-89.693298,2016,12,-2.265625,-22.2,15.3,37.599999999999994,38.8
MFE,26.176141,-98.237965,2023,7,31.309375000000003,24.5,39.8,32.6,33.9
CMH,39.998001,-82.891899,2015,7,22.553125,13.5,31.5,81.5,30.1
MFE,26.176141,-98.237965,2020,7,30.4,24.5,40.9,343.90000000000003,70.8
EYW,24.556101,-81.759598,2018,12,23.159374999999997,16.5,26.4,39.800000000000004,59.5
FAT,36.776199,-119.718002,2019,9,24.709677419354836,9.1,40.8,0.1,29.4
DBQ,42.402,-90.709503,2015,6,19.89032258064516,6.9,29.8,162.80000000000004,34.4
ABY,31.532946,-84.196215,2020,2,12.466666666666667,-1.3,25.0,196.60000000000002,34.1
ORF,36.895341,-76.201,2013,10,17.803124999999998,4.6,28.9,166.29999999999998,31.0
ABE,40.651773,-75.442797,2013,10,13.0625,-1.0,28.5,55.3,28.7
DRO,37.151501,-107.753998,2015,4,7.677419354838711,-4.3,23.1,16.500000000000004,36.8
OMA,41.3032,-95.894096,2017,11,5.058064516129033,-8.1,19.8,5.9,36.4
LIH,21.976,-159.339005,2014,12,21.8125,17.0,26.5,32.5,26.6
MYR,33.679699,-78.928299,2016,2,10.210000000000003,-3.0,21.7,169.7,40.1
ESC,45.723199,-87.088623,2020,12,-1.28125,-11.1,7.4,25.1,42.8
SLC,40.78886,-111.979866,2017,3,8.75,-5.3,24.1,85.6,45.2
SHV,32.446602,-93.8256,2014,4,17.032258064516128,4.1,29.0,101.6,31.3
AEX,31.3274,-92.549797,2015,2,8.296551724137931,-1.8,22.6,64.9,25.7
MOB,30.6912,-88.242798,2023,4,19.13548387096774,7.5,28.4,115.5,30.5
YAK,59.508717,-139.660435,2023,1,1.5593750000000002,-5.3,6.9,419.80000000000007,56.6
ECP,30.357106,-85.795414,2022,7,26.821875,21.7,32.3,259.79999999999995,17.9
DLH,46.842098,-92.193604,2015,11,3.051612903225806,-7.7,14.3,69.39999999999999,34.1
YAK,59.508717,-139.660435,2013,12,0.64375,-6.7,5.7,311.3,30.7
AGS,33.3699,-81.9645,2015,5,23.140625,8.5,33.2,34.7,22.1
HOB,32.6875,-103.217003,2016,1,5.33125,-9.3,23.2,8.6,46.8
OGG,20.896263,-156.431837,2017,6,25.75483870967742,21.6,30.1,6.1,44.0
HSV,34.637199,-86.775101,2020,6,24.348387096774193,14.1,32.8,88.30000000000001,27.5
DSM,41.534,-93.663101,2015,6,21.80322580645161,9.5,32.0,170.2,30.6
MHT,42.932598,-71.435699,2019,11,2.0225806451612907,-9.6,21.7,81.5,34.5
BIL,45.807701,-108.542999,2013,12,-7.968749999999999,-33.9,7.9,56.8,31.1
ABE,40.651773,-75.442797,2023,5,15.878125,2.9,33.2,34.8,29.2
PSP,33.8297,-116.507004,2016,9,27.854838709677416,11.5,40.6,18.6,15.5
TPA,27.9755,-82.533203,2015,10,24.046875,18.2,29.7,29.6,28.3
DLH,46.842098,-92.193604,2019,7,20.865625,12.0,29.7,91.0,28.2
SMF,38.6954,-121.591003,2021,8,25.56875,12.3,42.3,0.0,20.7
SUX,42.397605,-96.382237,2018,10,9.1875,-2.3,30.0,73.4,51.8
SFO,37.619806,-122.374821,2020,6,15.680645161290323,11.2,26.0,0.30000000000000004,47.8
PHF,37.131901,-76.492996,2018,3,6.6499999999999995,-2.7,25.4,87.1,50.1
RIC,37.505199,-77.319702,2021,5,18.878124999999997,6.1,33.9,75.8,25.1
